fold,balanced_accuracy,per_subj_mean_bacc,per_subj_median_bacc,n_test_subjects,n_train,n_test,best_val_bacc,stopped_epoch,fold_time_s
0,0.76083589908552,0.7606495067246835,0.7579051383399209,21,3848,933,0.7716393069674438,22,147.4
1,0.7760244490358127,0.7765797081915189,0.8179039850704019,22,3817,964,0.7975413031824163,32,198.2
2,0.7816443793045306,0.7827481477679105,0.7666572557876906,22,3819,962,0.7975877192982457,43,266.9
3,0.7669475006497444,0.7636460334270819,0.7552936194240542,22,3820,961,0.7836805555555556,33,205.8
4,0.762738218988219,0.7618095061117033,0.7527738565782044,22,3820,961,0.7782664847214776,27,167.3
