subject,fold,balanced_accuracy,best_val_bacc,stopped_epoch,n_train,n_test
27,2,0.575,0.8333333333333333,17,35,9
27,3,0.45,0.6666666666666666,21,35,9
27,4,1.0,0.8333333333333333,29,36,8
28,0,0.45,1.0,25,36,9
28,1,0.55,0.6666666666666666,22,36,9
28,2,0.8,0.8333333333333333,45,36,9
28,3,0.5,0.5,16,36,9
28,4,0.675,1.0,30,36,9
29,0,0.65,0.6666666666666666,30,36,9
29,1,0.575,0.6666666666666666,28,36,9
29,2,0.325,0.6666666666666666,16,36,9
29,3,0.425,0.6666666666666666,25,36,9
29,4,0.5,0.6666666666666666,31,36,9
30,0,0.775,0.8333333333333333,18,34,9
30,1,0.675,0.6666666666666666,21,34,9
30,2,0.55,1.0,36,34,9
30,3,0.75,0.8333333333333333,30,35,8
30,4,0.875,1.0,26,35,8
31,0,0.5,0.8333333333333333,19,31,8
31,1,0.5,0.8333333333333333,28,31,8
31,2,0.625,0.6666666666666666,17,31,8
31,3,0.375,1.0,31,31,8
31,4,0.5416666666666666,0.8333333333333333,29,32,7
32,0,0.375,0.8333333333333333,17,35,9
32,1,0.6,0.5,16,35,9
32,2,0.65,0.6666666666666666,31,35,9
32,3,0.5,0.5,16,35,9
32,4,0.25,0.6666666666666666,25,36,8
33,0,0.875,0.8333333333333333,26,36,9
33,1,0.625,0.8333333333333333,17,36,9
33,2,0.7,0.5,20,36,9
33,3,0.475,0.6666666666666666,20,36,9
33,4,0.875,1.0,31,36,9
34,0,0.45,1.0,20,34,9
34,1,0.2,0.6666666666666666,21,34,9
34,2,0.25,0.6666666666666666,16,34,9
34,3,0.625,0.6666666666666666,25,35,8
34,4,0.5,0.5,16,35,8
35,0,0.875,1.0,22,36,9
35,1,0.775,1.0,22,36,9
35,2,0.675,0.8333333333333333,23,36,9
35,3,0.6,0.6666666666666666,19,36,9
35,4,0.75,1.0,28,36,9
36,0,0.875,0.8333333333333333,31,36,9
36,1,0.7,0.8333333333333333,20,36,9
36,2,0.3,0.5,16,36,9
36,3,0.525,0.8333333333333333,23,36,9
36,4,0.775,1.0,30,36,9
37,0,0.625,0.75,16,33,9
37,1,0.625,1.0,17,33,9
37,2,0.375,0.8333333333333333,30,34,8
37,3,0.5,0.5,16,34,8
37,4,0.625,0.8333333333333333,26,34,8
38,0,0.775,0.5,29,36,9
38,1,0.675,0.8333333333333333,37,36,9
38,2,0.675,0.6666666666666666,28,36,9
38,3,0.5,0.5,16,36,9
38,4,0.5,0.5,16,36,9
39,0,0.375,0.6666666666666666,16,36,9
39,1,0.5,0.6666666666666666,19,36,9
39,2,0.45,0.6666666666666666,18,36,9
39,3,0.675,0.8333333333333333,38,36,9
39,4,0.65,1.0,34,36,9
40,0,0.75,0.8333333333333333,35,36,9
40,1,0.7,1.0,20,36,9
40,2,0.575,1.0,45,36,9
40,3,0.5,0.6666666666666666,17,36,9
40,4,0.6,0.6666666666666666,20,36,9
41,0,0.625,1.0,33,35,9
41,1,0.55,0.8333333333333333,19,35,9
41,2,0.4,0.6666666666666666,18,35,9
41,3,0.8,0.8333333333333333,21,35,9
41,4,0.625,0.8333333333333333,24,36,8
42,0,0.3,0.5,16,36,9
42,1,0.55,0.8333333333333333,21,36,9
42,2,0.675,0.6666666666666666,30,36,9
42,3,0.575,0.8333333333333333,35,36,9
42,4,0.55,0.8333333333333333,29,36,9
43,0,0.75,1.0,37,33,9
43,1,0.475,0.5,16,33,9
43,2,0.625,0.6666666666666666,17,34,8
43,3,0.5,0.5,16,34,8
43,4,0.75,0.6666666666666666,25,34,8
44,0,0.7,0.8333333333333333,19,32,8
44,1,0.5333333333333333,1.0,31,32,8
44,2,0.625,0.5833333333333333,29,32,8
44,3,0.625,0.8333333333333333,22,32,8
44,4,0.5,0.5,16,32,8
45,0,0.4,0.5,16,32,9
45,1,0.625,0.75,18,33,8
45,2,0.5,0.8333333333333333,16,33,8
45,3,0.75,0.8333333333333333,23,33,8
45,4,0.5,0.5,16,33,8
46,0,0.5,0.6666666666666666,16,35,9
46,1,0.525,0.5,21,35,9
46,2,0.625,0.8333333333333333,17,35,9
46,3,0.7,0.8333333333333333,30,35,9
46,4,0.5,0.5,16,36,8
47,0,0.4,1.0,16,36,9
47,1,0.75,0.5,16,36,9
47,2,0.675,0.6666666666666666,31,36,9
47,3,0.4,0.6666666666666666,19,36,9
47,4,0.5,0.6666666666666666,27,36,9
48,0,0.45,0.8333333333333333,25,36,9
48,1,0.5,0.5,16,36,9
48,2,0.65,1.0,30,36,9
48,3,0.8,1.0,28,36,9
48,4,0.9,0.8333333333333333,30,36,9
49,0,0.4,0.3333333333333333,16,36,9
49,1,0.5,0.8333333333333333,22,36,9
49,2,0.525,0.6666666666666666,16,36,9
49,3,0.575,0.8333333333333333,26,36,9
49,4,0.65,0.8333333333333333,30,36,9
50,0,0.375,0.5,16,36,9
50,1,0.325,0.8333333333333333,24,36,9
50,2,0.625,0.5,16,36,9
50,3,0.525,0.8333333333333333,26,36,9
50,4,0.5,0.6666666666666666,25,36,9
51,0,0.7333333333333334,1.0,16,30,8
51,1,0.5,0.75,16,30,8
51,2,0.5,0.75,16,30,8
51,3,0.41666666666666663,0.5833333333333333,25,31,7
51,4,0.5833333333333333,0.5833333333333333,24,31,7
52,0,0.75,0.6666666666666666,22,36,9
52,1,0.45,1.0,26,36,9
52,2,0.875,0.6666666666666666,16,36,9
52,3,0.775,1.0,34,36,9
52,4,0.625,0.8333333333333333,31,36,9
53,0,0.9,1.0,27,36,9
53,1,0.5,0.5,16,36,9
53,2,0.775,0.8333333333333333,19,36,9
53,3,0.575,1.0,20,36,9
53,4,0.9,0.8333333333333333,41,36,9
54,0,0.6,0.8333333333333333,21,35,9
54,1,0.525,0.8333333333333333,22,35,9
54,2,0.55,0.8333333333333333,18,35,9
54,3,0.525,1.0,21,35,9
54,4,0.875,0.8333333333333333,23,36,8
55,0,0.625,0.6666666666666666,18,35,9
55,1,0.7,0.8333333333333333,23,35,9
55,2,0.775,0.8333333333333333,30,35,9
55,3,0.5,0.6666666666666666,18,35,9
55,4,0.5,0.8333333333333333,30,36,8
56,0,0.8,0.8333333333333333,22,36,9
56,1,0.5,0.5,16,36,9
56,2,0.8,0.8333333333333333,19,36,9
56,3,0.3,0.8333333333333333,25,36,9
56,4,0.9,0.8333333333333333,35,36,9
57,0,0.6,0.6666666666666666,17,36,9
57,1,0.625,0.8333333333333333,20,36,9
57,2,0.875,0.8333333333333333,25,36,9
57,3,0.625,0.8333333333333333,19,36,9
57,4,0.8,1.0,26,36,9
58,0,0.625,0.8333333333333333,18,36,9
58,1,0.5,0.5,16,36,9
58,2,0.55,0.5,29,36,9
58,3,0.5,0.5,16,36,9
58,4,0.5,0.6666666666666666,21,36,9
59,0,0.6666666666666666,0.75,23,25,7
59,1,0.5,0.5,16,25,7
59,2,0.625,0.5,18,26,6
59,3,0.5,0.5,16,26,6
59,4,0.5,0.5,16,26,6
60,0,0.675,0.8333333333333333,26,36,9
60,1,0.525,0.6666666666666666,17,36,9
60,2,0.65,0.8333333333333333,20,36,9
60,3,0.7,0.8333333333333333,20,36,9
60,4,0.9,1.0,40,36,9
61,0,0.575,0.6666666666666666,16,36,9
61,1,0.55,0.8333333333333333,26,36,9
61,2,0.45,0.8333333333333333,16,36,9
61,3,0.75,0.6666666666666666,21,36,9
61,4,0.575,0.8333333333333333,22,36,9
62,0,0.45,1.0,38,36,9
62,1,0.75,0.8333333333333333,32,36,9
62,2,0.3,0.8333333333333333,18,36,9
62,3,0.5,0.8333333333333333,18,36,9
62,4,0.75,1.0,23,36,9
63,0,0.5,0.6666666666666666,16,36,9
63,1,0.5,0.5,16,36,9
63,2,0.45,0.6666666666666666,18,36,9
63,3,0.625,0.8333333333333333,19,36,9
63,4,0.5,0.5,16,36,9
64,0,0.375,0.8333333333333333,23,35,9
64,1,0.3,0.8333333333333333,24,35,9
64,2,0.775,0.5,21,35,9
64,3,0.45,0.8333333333333333,37,35,9
64,4,0.5,0.5,16,36,8
65,0,0.775,1.0,25,35,9
65,1,0.625,0.6666666666666666,21,35,9
65,2,0.775,0.8333333333333333,21,35,9
65,3,0.75,0.8333333333333333,33,35,9
65,4,1.0,1.0,35,36,8
66,0,0.5,0.3333333333333333,20,36,9
66,1,0.55,0.8333333333333333,29,36,9
66,2,0.575,1.0,18,36,9
66,3,0.5,0.5,16,36,9
66,4,0.5,0.5,16,36,9
67,0,0.6,0.6666666666666666,21,33,9
67,1,0.4,0.8333333333333333,25,33,9
67,2,0.6,0.5,16,34,8
67,3,0.5,0.5,16,34,8
67,4,0.5,0.5,16,34,8
68,0,0.475,0.3333333333333333,16,36,9
68,1,0.475,0.6666666666666666,29,36,9
68,2,0.45,0.16666666666666666,16,36,9
68,3,0.775,0.6666666666666666,30,36,9
68,4,0.5,0.5,16,36,9
69,0,0.5,0.6666666666666666,16,36,9
69,1,0.5,0.5,16,36,9
69,2,0.8,0.8333333333333333,33,36,9
69,3,0.675,0.8333333333333333,39,36,9
69,4,0.65,0.8333333333333333,34,36,9
70,0,0.8,0.8333333333333333,29,36,9
70,1,0.475,1.0,21,36,9
70,2,0.9,0.8333333333333333,22,36,9
70,3,1.0,0.8333333333333333,26,36,9
70,4,0.8,1.0,23,36,9
71,0,0.65,0.8333333333333333,23,34,9
71,1,0.9,0.6666666666666666,20,34,9
71,2,0.8,0.8333333333333333,18,34,9
71,3,0.75,1.0,25,35,8
71,4,1.0,1.0,32,35,8
72,0,0.5416666666666666,0.8333333333333333,35,28,7
72,1,0.7083333333333333,1.0,19,28,7
72,2,0.41666666666666663,0.5833333333333333,16,28,7
72,3,0.375,0.5833333333333333,27,28,7
72,4,0.625,1.0,32,28,7
73,0,0.1,0.5,16,33,9
73,1,0.45,0.8333333333333333,19,33,9
73,2,0.375,0.6666666666666666,34,34,8
73,3,0.25,0.6666666666666666,25,34,8
73,4,0.5,0.6666666666666666,20,34,8
74,0,0.675,0.8333333333333333,36,34,9
74,1,0.325,0.8333333333333333,21,34,9
74,2,0.55,0.8333333333333333,20,34,9
74,3,0.5,0.6666666666666666,19,35,8
74,4,0.5,0.5,16,35,8
75,0,0.6,0.8333333333333333,16,32,9
75,1,0.5,0.8333333333333333,19,33,8
75,2,0.75,0.5833333333333333,20,33,8
75,3,0.5,0.6666666666666666,21,33,8
75,4,0.5,0.75,19,33,8
76,0,0.5,0.5,16,33,9
76,1,0.625,0.6666666666666666,24,33,9
76,2,0.625,1.0,16,34,8
76,3,0.5,0.5,16,34,8
76,4,0.375,0.8333333333333333,27,34,8
77,0,0.5,0.5,16,36,9
77,1,0.6,1.0,21,36,9
77,2,0.675,0.5,25,36,9
77,3,0.5,0.8333333333333333,20,36,9
77,4,0.5,0.5,16,36,9
78,0,0.625,0.3333333333333333,16,36,9
78,1,0.325,0.6666666666666666,18,36,9
78,2,0.5,0.8333333333333333,16,36,9
78,3,0.5,0.6666666666666666,19,36,9
78,4,0.425,0.6666666666666666,30,36,9
79,0,0.3,0.6666666666666666,19,36,9
79,1,0.5,0.6666666666666666,16,36,9
79,2,1.0,0.6666666666666666,25,36,9
79,3,0.5,0.5,16,36,9
79,4,0.5,0.5,16,36,9
80,0,0.7,0.6666666666666666,35,34,9
80,1,0.425,0.8333333333333333,18,34,9
80,2,0.45,0.6666666666666666,21,34,9
80,3,0.5,1.0,19,35,8
80,4,0.875,1.0,28,35,8
81,0,0.4,0.6666666666666666,16,36,9
81,1,0.875,0.6666666666666666,30,36,9
81,2,0.125,0.6666666666666666,16,36,9
81,3,0.25,0.8333333333333333,19,36,9
81,4,0.5,0.5,16,36,9
82,0,0.8,0.8333333333333333,26,36,9
82,1,0.75,0.6666666666666666,18,36,9
82,2,0.3,0.8333333333333333,16,36,9
82,3,0.65,0.5,25,36,9
82,4,0.775,0.8333333333333333,29,36,9
83,0,0.525,0.8333333333333333,25,36,9
83,1,0.5,0.6666666666666666,19,36,9
83,2,0.35,0.5,19,36,9
83,3,0.5,0.6666666666666666,22,36,9
83,4,0.5,0.5,16,36,9
84,0,0.575,0.8333333333333333,26,35,9
84,1,0.65,0.5,16,35,9
84,2,0.65,0.8333333333333333,21,35,9
84,3,0.5,0.5,16,35,9
84,4,0.375,0.8333333333333333,19,36,8
85,0,0.5,0.5,18,36,9
85,1,0.575,0.8333333333333333,22,36,9
85,2,0.8,0.6666666666666666,30,36,9
85,3,0.5,0.5,16,36,9
85,4,0.475,0.6666666666666666,22,36,9
86,0,0.475,0.6666666666666666,16,33,9
86,1,0.775,0.8333333333333333,22,33,9
86,2,0.5,0.8333333333333333,16,34,8
86,3,1.0,1.0,23,34,8
86,4,0.875,1.0,24,34,8
87,0,0.525,0.8333333333333333,21,36,9
87,1,0.7,0.5,16,36,9
87,2,0.475,0.8333333333333333,19,36,9
87,3,0.5,0.5,16,36,9
87,4,0.5,0.5,16,36,9
88,0,0.5,0.5416666666666666,16,45,12
88,1,0.75,0.7083333333333333,20,45,12
88,2,0.8,0.75,21,46,11
88,3,0.43333333333333335,1.0,45,46,11
88,4,0.75,0.5416666666666666,30,46,11
89,0,0.525,0.8333333333333333,16,36,9
89,1,0.4,0.5,16,36,9
89,2,0.65,0.6666666666666666,18,36,9
89,3,0.65,0.6666666666666666,21,36,9
89,4,0.4,0.8333333333333333,30,36,9
90,0,0.875,0.5,20,36,9
90,1,0.55,1.0,25,36,9
90,2,0.65,1.0,19,36,9
90,3,0.65,1.0,41,36,9
90,4,0.625,0.6666666666666666,23,36,9
91,0,0.75,0.6666666666666666,21,35,9
91,1,0.5,0.6666666666666666,17,35,9
91,2,0.775,0.3333333333333333,16,35,9
91,3,0.675,0.8333333333333333,29,35,9
91,4,0.5,0.5,16,36,8
92,0,0.7166666666666667,0.75,19,44,11
92,1,0.5,0.3333333333333333,16,44,11
92,2,0.48333333333333334,0.5833333333333333,23,44,11
92,3,0.8,0.7083333333333333,26,44,11
92,4,0.5666666666666667,0.875,27,44,11
93,0,0.525,1.0,23,33,9
93,1,0.525,0.75,18,33,9
93,2,0.375,0.6666666666666666,30,34,8
93,3,0.375,0.6666666666666666,25,34,8
93,4,0.625,0.8333333333333333,22,34,8
94,0,0.625,0.6666666666666666,18,35,9
94,1,0.425,0.6666666666666666,25,35,9
94,2,0.65,0.8333333333333333,19,35,9
94,3,0.8,1.0,33,35,9
94,4,0.75,0.6666666666666666,29,36,8
95,0,0.525,0.75,16,33,9
95,1,0.775,0.5833333333333333,25,33,9
95,2,0.5,0.8333333333333333,24,34,8
95,3,0.625,0.5,21,34,8
95,4,0.375,0.6666666666666666,24,34,8
96,0,0.775,0.8333333333333333,18,35,9
96,1,0.9,1.0,25,35,9
96,2,0.55,0.6666666666666666,18,35,9
96,3,1.0,1.0,34,35,9
96,4,0.875,0.8333333333333333,37,36,8
97,0,0.775,0.8333333333333333,22,36,9
97,1,0.775,0.6666666666666666,31,36,9
97,2,0.5,0.6666666666666666,16,36,9
97,3,0.675,1.0,23,36,9
97,4,0.5,0.6666666666666666,20,36,9
98,0,0.525,0.6666666666666666,19,36,9
98,1,0.425,0.6666666666666666,24,36,9
98,2,0.65,0.8333333333333333,17,36,9
