fold,balanced_accuracy,per_subj_mean_bacc,per_subj_median_bacc,n_test_subjects,n_train,n_test,best_val_bacc,stopped_epoch,fold_time_s
0,0.7656242819723358,0.7685156687271701,0.7413419913419914,21,3848,933,0.8286277045391957,27,248.8
1,0.7966511707988981,0.7956725734620133,0.7804056887640096,22,3817,964,0.8309920074077684,46,413.0
2,0.8125959264495433,0.8124401838828716,0.8019774609448522,22,3819,962,0.8029422514619884,41,371.9
3,0.8160248635536689,0.8147550649890986,0.8084368530020704,22,3820,961,0.8254568713450292,54,489.3
4,0.7960455647955648,0.79524666106711,0.8211462450592886,22,3820,961,0.8185766850236367,49,444.0
